,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min,orb_gry1,orb_gry2,orb_gry3,orb_gry4,orb_gry5,orb_gry6,orb_gry7,orb_gry8,orb_gry9,orb_gry10,orb_gry11,orb_gry12,orb_gry13,orb_gry14,orb_gry15,orb_gry16,orb_gry17,orb_gry18,orb_gry19,orb_gry20,orb_b1,orb_b2,orb_b3,orb_b4,orb_b5,orb_b6,orb_b7,orb_b8,orb_b9,orb_b10,orb_b11,orb_b12,orb_b13,orb_b14,orb_b15,orb_b16,orb_b17,orb_b18,orb_b19,orb_b20,orb_g1,orb_g2,orb_g3,orb_g4,orb_g5,orb_g6,orb_g7,orb_g8,orb_g9,orb_g10,orb_g11,orb_g12,orb_g13,orb_g14,orb_g15,orb_g16,orb_g17,orb_g18,orb_g19,orb_g20,orb_r1,orb_r2,orb_r3,orb_r4,orb_r5,orb_r6,orb_r7,orb_r8,orb_r9,orb_r10,orb_r11,orb_r12,orb_r13,orb_r14,orb_r15,orb_r16,orb_r17,orb_r18,orb_r19,orb_r20,orb_l1,orb_l2,orb_l3,orb_l4,orb_l5,orb_l6,orb_l7,orb_l8,orb_l9,orb_l10,orb_l11,orb_l12,orb_l13,orb_l14,orb_l15,orb_l16,orb_l17,orb_l18,orb_l19,orb_l20,orb_a1,orb_a2,orb_a3,orb_a4,orb_a5,orb_a6,orb_a7,orb_a8,orb_a9,orb_a10,orb_a11,orb_a12,orb_a13,orb_a14,orb_a15,orb_a16,orb_a17,orb_a18,orb_a19,orb_a20,orb_bl1,orb_bl2,orb_bl3,orb_bl4,orb_bl5,orb_bl6,orb_bl7,orb_bl8,orb_bl9,orb_bl10,orb_bl11,orb_bl12,orb_bl13,orb_bl14,orb_bl15,orb_bl16,orb_bl17,orb_bl18,orb_bl19,orb_bl20,orb_h1,orb_h2,orb_h3,orb_h4,orb_h5,orb_h6,orb_h7,orb_h8,orb_h9,orb_h10,orb_h11,orb_h12,orb_h13,orb_h14,orb_h15,orb_h16,orb_h17,orb_h18,orb_h19,orb_h20,orb_s1,orb_s2,orb_s3,orb_s4,orb_s5,orb_s6,orb_s7,orb_s8,orb_s9,orb_s10,orb_s11,orb_s12,orb_s13,orb_s14,orb_s15,orb_s16,orb_s17,orb_s18,orb_s19,orb_s20,orb_v1,orb_v2,orb_v3,orb_v4,orb_v5,orb_v6,orb_v7,orb_v8,orb_v9,orb_v10,orb_v11,orb_v12,orb_v13,orb_v14,orb_v15,orb_v16,orb_v17,orb_v18,orb_v19,orb_v20
0,2,80.2796211270795,34.183760230592,94.3988572144361,70.15390026160732,42.26767776530499,165.8899129420947,94.4017960811898,94.00925020355264,108.22061735473083,158.62722643245664,17.52573839078564,16.096961943281762,17.863888180682164,18.910972074122697,2.695223956747214,29.57410646673988,17.869734713012818,18.752103410695305,2.8579906153274086,5.071750483604432,18.0,1.0,20.0,18.0,17.0,18.0,20.0,15.0,99.0,119.0,12.0,21.0,20.0,7.0,12.0,15.0,38.0,13.0,6.0,7.0,4.0,21.0,29.0,14.0,15.0,20.0,37.0,10.0,20.0,27.0,19.0,14.0,26.0,15.0,21.0,17.0,12.0,48.0,10.0,28.0,5.0,11.0,37.0,15.0,16.0,32.0,18.0,36.0,6.0,14.0,5.0,10.0,3.0,50.0,12.0,3.0,32.0,17.0,24.0,8.0,37.0,28.0,11.0,9.0,18.0,32.0,21.0,18.0,24.0,12.0,21.0,26.0,7.0,35.0,21.0,31.0,13.0,25.0,30.0,12.0,5.0,40.0,16.0,21.0,24.0,10.0,23.0,23.0,13.0,15.0,17.0,23.0,32.0,15.0,15.0,11.0,8.0,14.0,28.0,49.0,22.0,32.0,22.0,16.0,24.0,4.0,13.0,29.0,12.0,10.0,6.0,5.0,9.0,7.0,4.0,9.0,6.0,2.0,13.0,4.0,11.0,0.0,10.0,33.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,16.0,23.0,9.0,3.0,11.0,1.0,0.0,7.0,53.0,18.0,6.0,6.0,0.0,11.0,5.0,5.0,10.0,0.0,1.0,3.0,4.0,6.0,12.0,2.0,9.0,0.0,2.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,6.0,4.0,12.0,51.0,14.0,28.0,13.0,18.0,57.0,21.0,18.0,28.0,30.0,57.0,9.0,10.0,20.0,17.0,20.0,26.0,11.0,39.0,32.0,34.0,29.0,12.0,4.0,27.0,33.0,14.0,4.0,15.0,12.0,12.0,19.0,24.0,10.0,3.0,35.0,19.0,14.0,24.0
1,2,77.39363402866127,39.46557973623693,89.20323579538635,68.72933099690343,42.56013346455748,143.7866103363019,89.22483496963441,89.60006721236708,110.960219880458,153.84306392376195,14.039076293114436,13.493015725776672,14.447904516898696,15.023361142728408,2.8934017070056317,26.594048861012148,14.461603144998357,15.083009788413928,2.696777779790893,4.863405031257642,27.0,1.0,35.0,20.0,11.0,11.0,35.0,29.0,100.0,122.0,9.0,39.0,20.0,12.0,17.0,22.0,42.0,9.0,6.0,4.0,2.0,11.0,15.0,2.0,6.0,19.0,21.0,25.0,21.0,11.0,39.0,7.0,10.0,10.0,8.0,21.0,7.0,65.0,5.0,7.0,4.0,27.0,61.0,12.0,14.0,13.0,19.0,22.0,9.0,25.0,14.0,3.0,2.0,71.0,6.0,5.0,9.0,17.0,31.0,12.0,8.0,37.0,6.0,11.0,12.0,30.0,24.0,13.0,7.0,5.0,2.0,6.0,3.0,32.0,1.0,53.0,22.0,16.0,24.0,5.0,19.0,49.0,31.0,20.0,54.0,2.0,10.0,13.0,26.0,16.0,6.0,10.0,28.0,15.0,10.0,9.0,20.0,2.0,24.0,47.0,19.0,7.0,15.0,12.0,2.0,2.0,12.0,59.0,24.0,8.0,2.0,1.0,17.0,0.0,6.0,0.0,1.0,2.0,9.0,2.0,5.0,5.0,4.0,9.0,0.0,7.0,5.0,2.0,0.0,21.0,1.0,24.0,19.0,5.0,5.0,5.0,8.0,0.0,6.0,12.0,5.0,7.0,8.0,6.0,3.0,9.0,12.0,3.0,12.0,2.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,2.0,12.0,3.0,4.0,9.0,1.0,2.0,3.0,0.0,2.0,11.0,35.0,23.0,18.0,15.0,35.0,28.0,25.0,25.0,22.0,26.0,44.0,24.0,22.0,16.0,21.0,25.0,6.0,31.0,48.0,6.0,36.0,32.0,4.0,3.0,27.0,26.0,5.0,5.0,10.0,7.0,13.0,10.0,57.0,28.0,3.0,6.0,10.0,12.0,19.0
2,2,82.03921847691808,39.30256153316215,95.34945945792084,72.2262192796188,42.61299578155155,151.6116807186733,95.34945945792084,95.41702294813189,109.14502695594254,156.65966058853334,14.894221194408717,13.928573159792418,14.888873433814805,16.787097555504722,2.8986275686256024,25.97595092017485,14.888873433814805,15.61791714925526,2.5775906222264338,4.74739938058538,29.0,1.0,33.0,16.0,31.0,21.0,33.0,30.0,99.0,127.0,10.0,21.0,11.0,49.0,8.0,14.0,23.0,2.0,15.0,32.0,17.0,34.0,20.0,13.0,30.0,11.0,7.0,5.0,13.0,12.0,24.0,25.0,16.0,46.0,24.0,7.0,13.0,19.0,9.0,16.0,8.0,10.0,40.0,12.0,19.0,30.0,24.0,11.0,20.0,14.0,2.0,8.0,9.0,33.0,13.0,18.0,47.0,15.0,19.0,7.0,33.0,46.0,11.0,17.0,18.0,13.0,42.0,19.0,19.0,18.0,14.0,23.0,10.0,28.0,11.0,25.0,11.0,20.0,23.0,21.0,7.0,48.0,11.0,21.0,18.0,22.0,18.0,37.0,15.0,32.0,13.0,12.0,26.0,16.0,11.0,20.0,10.0,22.0,16.0,29.0,26.0,48.0,33.0,13.0,25.0,11.0,11.0,18.0,28.0,26.0,13.0,4.0,12.0,7.0,5.0,9.0,0.0,26.0,12.0,1.0,19.0,10.0,9.0,7.0,3.0,16.0,0.0,15.0,4.0,0.0,5.0,29.0,27.0,10.0,16.0,22.0,0.0,0.0,11.0,28.0,14.0,19.0,6.0,1.0,11.0,1.0,15.0,22.0,0.0,4.0,5.0,8.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,14.0,4.0,0.0,3.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,23.0,35.0,31.0,18.0,24.0,47.0,20.0,9.0,20.0,26.0,39.0,20.0,19.0,15.0,21.0,33.0,16.0,32.0,28.0,17.0,26.0,48.0,16.0,16.0,7.0,20.0,21.0,14.0,11.0,10.0,24.0,14.0,35.0,25.0,11.0,11.0,46.0,10.0,30.0,12.0
3,2,67.43814480556632,38.15051838454121,77.3464324603658,59.17778177657199,44.345726519388,129.95859863794917,77.34815347987376,77.29921746673311,113.20895391543472,148.6166048391562,20.00305512641544,14.187693273461012,22.071705801289063,19.423771448061203,2.924319253764508,25.218192178914972,22.0729382914054,23.03458093408392,3.8084488004700257,6.5148136167221296,11.0,1.0,13.0,7.0,19.0,16.0,13.0,8.0,97.0,130.0,13.0,45.0,14.0,21.0,6.0,12.0,22.0,17.0,23.0,16.0,10.0,8.0,16.0,18.0,13.0,16.0,34.0,30.0,4.0,3.0,31.0,10.0,5.0,4.0,3.0,32.0,32.0,27.0,5.0,7.0,10.0,21.0,36.0,15.0,27.0,32.0,20.0,18.0,35.0,36.0,42.0,7.0,8.0,61.0,9.0,12.0,20.0,27.0,21.0,14.0,18.0,18.0,21.0,8.0,19.0,7.0,23.0,19.0,12.0,3.0,18.0,12.0,8.0,19.0,10.0,34.0,18.0,60.0,27.0,2.0,8.0,27.0,26.0,19.0,17.0,8.0,30.0,13.0,23.0,10.0,8.0,22.0,7.0,27.0,15.0,11.0,16.0,8.0,45.0,25.0,33.0,8.0,18.0,6.0,10.0,15.0,28.0,51.0,13.0,20.0,11.0,2.0,15.0,1.0,14.0,16.0,2.0,3.0,5.0,3.0,1.0,16.0,3.0,4.0,0.0,5.0,10.0,1.0,3.0,25.0,1.0,37.0,30.0,6.0,19.0,12.0,7.0,0.0,1.0,15.0,3.0,6.0,1.0,8.0,3.0,14.0,11.0,8.0,14.0,0.0,2.0,4.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,2.0,1.0,6.0,2.0,1.0,14.0,0.0,2.0,4.0,3.0,0.0,12.0,26.0,20.0,8.0,16.0,48.0,36.0,26.0,22.0,24.0,21.0,29.0,46.0,46.0,12.0,14.0,33.0,13.0,29.0,19.0,19.0,20.0,28.0,9.0,10.0,48.0,9.0,11.0,10.0,18.0,17.0,37.0,17.0,42.0,21.0,12.0,12.0,10.0,8.0,12.0
4,2,71.64911219993519,34.46470309386065,84.53752170527262,60.54301150681752,44.6441496128118,151.04238513739014,84.5392532902533,83.95916264806745,109.44382747996345,153.68876936545632,14.618914216790724,12.879179068567796,16.273769100471053,14.868455280666996,3.1865202734260825,31.32191129288771,16.275374363039937,16.587640634289997,4.309227521492752,6.683033994620379,22.0,1.0,25.0,18.0,15.0,9.0,25.0,20.0,96.0,129.0,7.0,28.0,23.0,28.0,15.0,10.0,66.0,6.0,12.0,8.0,14.0,10.0,22.0,12.0,8.0,26.0,48.0,11.0,25.0,10.0,14.0,10.0,0.0,5.0,9.0,25.0,9.0,55.0,5.0,17.0,7.0,25.0,59.0,10.0,17.0,20.0,21.0,56.0,13.0,27.0,17.0,4.0,12.0,53.0,21.0,7.0,12.0,15.0,50.0,19.0,8.0,40.0,20.0,9.0,17.0,26.0,24.0,19.0,14.0,4.0,8.0,6.0,21.0,40.0,19.0,37.0,22.0,48.0,21.0,7.0,10.0,56.0,24.0,13.0,34.0,4.0,17.0,8.0,13.0,6.0,14.0,6.0,29.0,18.0,17.0,8.0,16.0,19.0,57.0,58.0,23.0,12.0,27.0,12.0,6.0,4.0,11.0,39.0,21.0,13.0,17.0,1.0,7.0,7.0,5.0,11.0,2.0,1.0,7.0,3.0,12.0,7.0,14.0,2.0,0.0,1.0,1.0,6.0,10.0,19.0,0.0,13.0,19.0,9.0,15.0,21.0,16.0,0.0,3.0,17.0,4.0,19.0,10.0,3.0,7.0,4.0,21.0,9.0,1.0,1.0,0.0,8.0,10.0,3.0,1.0,3.0,0.0,13.0,0.0,6.0,3.0,0.0,3.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0,8.0,30.0,34.0,20.0,19.0,38.0,51.0,25.0,12.0,25.0,16.0,19.0,27.0,37.0,11.0,18.0,34.0,34.0,19.0,23.0,6.0,40.0,52.0,19.0,12.0,46.0,23.0,13.0,16.0,8.0,10.0,16.0,12.0,33.0,15.0,2.0,10.0,14.0,21.0,23.0
5,3,88.50294195448728,42.656638522087896,102.9977694051032,77.55502491545903,43.1092348058596,150.2482966691213,102.99844859265193,102.8419208853746,107.7562717608116,158.33749186762276,15.529183999111584,13.058885934772592,16.053878177123522,17.217273289215903,2.9311859697573324,24.964019729313023,16.056522657066346,16.585329576736736,2.26837188387127,5.861672102539383,42.0,2.0,55.0,29.0,19.0,41.0,55.0,52.0,99.0,139.0,25.0,11.0,11.0,14.0,9.0,4.0,12.0,10.0,11.0,13.0,9.0,9.0,7.0,17.0,15.0,9.0,9.0,6.0,4.0,6.0,10.0,20.0,6.0,5.0,9.0,14.0,14.0,19.0,3.0,6.0,5.0,14.0,20.0,6.0,24.0,12.0,9.0,11.0,16.0,11.0,6.0,10.0,7.0,27.0,10.0,3.0,16.0,10.0,19.0,12.0,22.0,16.0,10.0,3.0,31.0,14.0,16.0,12.0,14.0,2.0,3.0,20.0,8.0,21.0,14.0,17.0,14.0,16.0,15.0,16.0,10.0,30.0,17.0,17.0,16.0,5.0,24.0,11.0,7.0,7.0,16.0,27.0,13.0,11.0,8.0,7.0,10.0,16.0,19.0,18.0,8.0,18.0,16.0,7.0,9.0,2.0,16.0,22.0,15.0,19.0,17.0,0.0,1.0,0.0,7.0,6.0,1.0,5.0,11.0,1.0,4.0,4.0,11.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,15.0,8.0,5.0,19.0,21.0,0.0,0.0,1.0,14.0,6.0,7.0,0.0,0.0,6.0,0.0,15.0,6.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,22.0,27.0,11.0,30.0,44.0,23.0,22.0,24.0,15.0,37.0,15.0,54.0,36.0,19.0,7.0,23.0,18.0,20.0,17.0,22.0,22.0,14.0,15.0,4.0,16.0,14.0,10.0,4.0,15.0,17.0,7.0,12.0,14.0,11.0,2.0,12.0,23.0,13.0,13.0
6,2,78.04728103885665,41.50118303066837,89.80450104237309,68.90761811468616,43.14204405596162,138.20985607716074,89.84717554567604,90.16452415040314,110.99904051440484,152.95808906638536,15.834398922567404,14.086535498909017,16.742737721345847,16.806953321151394,3.460648207125534,27.68329472413998,16.90417196839908,17.407866510276495,3.764419320509829,5.8103126799882885,25.0,2.0,30.0,23.0,14.0,25.0,30.0,25.0,97.0,135.0,14.0,25.0,25.0,7.0,11.0,26.0,17.0,4.0,6.0,9.0,9.0,14.0,8.0,12.0,3.0,5.0,18.0,12.0,17.0,15.0,22.0,8.0,9.0,18.0,8.0,20.0,12.0,40.0,5.0,28.0,14.0,32.0,28.0,7.0,6.0,8.0,18.0,30.0,15.0,18.0,14.0,12.0,9.0,32.0,18.0,12.0,11.0,15.0,19.0,1.0,8.0,26.0,12.0,11.0,4.0,17.0,32.0,3.0,15.0,12.0,20.0,6.0,12.0,25.0,5.0,35.0,9.0,20.0,20.0,6.0,4.0,33.0,45.0,29.0,15.0,15.0,2.0,3.0,10.0,19.0,10.0,8.0,23.0,37.0,4.0,15.0,16.0,8.0,21.0,28.0,9.0,7.0,27.0,19.0,9.0,8.0,13.0,15.0,21.0,2.0,10.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,7.0,1.0,1.0,5.0,3.0,12.0,0.0,9.0,0.0,3.0,5.0,0.0,3.0,13.0,24.0,2.0,1.0,14.0,0.0,0.0,10.0,18.0,2.0,6.0,3.0,0.0,5.0,0.0,7.0,3.0,0.0,4.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,23.0,60.0,15.0,15.0,38.0,34.0,23.0,14.0,16.0,19.0,15.0,49.0,34.0,23.0,11.0,38.0,8.0,19.0,28.0,13.0,31.0,17.0,11.0,26.0,18.0,25.0,2.0,6.0,8.0,1.0,13.0,8.0,23.0,16.0,9.0,13.0,9.0,21.0,15.0
7,3,63.14445700574488,41.08486260757216,71.52587961147128,55.11008005906375,46.56787024433011,109.14264817848326,71.52713933045705,72.00133816302517,115.12800221489051,144.13165216990055,11.223696020942665,11.121641667205102,11.932342319387464,11.431733870249571,3.157836043852288,28.281996969436968,11.938478896455354,12.721281463056556,3.041396033871176,4.730616414498682,25.0,5.0,34.0,14.0,21.0,24.0,34.0,28.0,100.0,124.0,7.0,20.0,17.0,1.0,12.0,31.0,28.0,10.0,11.0,8.0,11.0,9.0,11.0,5.0,8.0,17.0,20.0,6.0,9.0,17.0,12.0,32.0,11.0,7.0,8.0,13.0,10.0,5.0,58.0,17.0,30.0,15.0,8.0,21.0,6.0,5.0,14.0,6.0,12.0,3.0,0.0,9.0,6.0,25.0,7.0,25.0,30.0,3.0,12.0,3.0,26.0,16.0,4.0,10.0,26.0,10.0,8.0,68.0,22.0,8.0,56.0,16.0,16.0,5.0,16.0,25.0,6.0,5.0,7.0,8.0,1.0,11.0,8.0,5.0,5.0,28.0,49.0,17.0,1.0,19.0,19.0,31.0,11.0,7.0,28.0,18.0,1.0,13.0,6.0,16.0,1.0,25.0,9.0,6.0,20.0,35.0,6.0,20.0,15.0,32.0,6.0,0.0,4.0,6.0,25.0,17.0,8.0,9.0,13.0,0.0,20.0,13.0,17.0,15.0,1.0,20.0,0.0,11.0,11.0,0.0,1.0,50.0,34.0,5.0,14.0,6.0,0.0,0.0,7.0,27.0,9.0,19.0,8.0,0.0,1.0,0.0,12.0,16.0,0.0,2.0,0.0,4.0,7.0,7.0,5.0,6.0,0.0,14.0,0.0,13.0,15.0,0.0,7.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,12.0,42.0,15.0,9.0,38.0,9.0,44.0,11.0,21.0,24.0,5.0,62.0,37.0,19.0,36.0,52.0,18.0,15.0,14.0,29.0,20.0,16.0,14.0,9.0,3.0,15.0,54.0,1.0,3.0,24.0,2.0,28.0,19.0,1.0,27.0,21.0,14.0,9.0,9.0
8,3,68.47896551101806,26.566528691927275,83.86418572193446,54.223140645021566,45.7462205297575,176.30224331787255,83.86948570328526,82.05528584405663,106.10737726121508,157.05098449710337,13.901113223065874,10.659550798858742,14.715506918508648,14.516428231755784,2.45627761520478,20.5609834667819,14.736009588675524,15.493194590786604,2.240501930592393,3.928716645282232,22.0,1.0,31.0,11.0,22.0,39.0,31.0,25.0,97.0,133.0,13.0,7.0,12.0,17.0,9.0,7.0,11.0,7.0,43.0,20.0,7.0,21.0,10.0,6.0,28.0,6.0,11.0,7.0,7.0,7.0,10.0,16.0,20.0,28.0,27.0,17.0,13.0,5.0,25.0,7.0,12.0,7.0,9.0,13.0,15.0,14.0,9.0,12.0,7.0,10.0,6.0,10.0,21.0,9.0,26.0,4.0,41.0,20.0,14.0,3.0,26.0,15.0,7.0,8.0,16.0,11.0,11.0,31.0,11.0,13.0,28.0,23.0,18.0,13.0,24.0,9.0,14.0,6.0,19.0,7.0,11.0,13.0,11.0,4.0,10.0,12.0,27.0,15.0,11.0,26.0,12.0,18.0,12.0,6.0,34.0,23.0,8.0,26.0,9.0,15.0,13.0,32.0,19.0,7.0,29.0,4.0,6.0,12.0,8.0,26.0,19.0,14.0,9.0,8.0,7.0,17.0,5.0,4.0,9.0,11.0,12.0,3.0,16.0,9.0,0.0,13.0,3.0,3.0,15.0,7.0,4.0,32.0,26.0,12.0,5.0,24.0,0.0,0.0,15.0,32.0,9.0,13.0,7.0,9.0,9.0,12.0,18.0,7.0,4.0,0.0,8.0,9.0,4.0,7.0,5.0,4.0,0.0,5.0,4.0,6.0,2.0,6.0,7.0,4.0,5.0,0.0,2.0,7.0,0.0,0.0,18.0,18.0,23.0,38.0,15.0,10.0,36.0,13.0,26.0,28.0,14.0,32.0,18.0,15.0,12.0,31.0,30.0,20.0,19.0,44.0,31.0,20.0,16.0,24.0,5.0,11.0,13.0,21.0,16.0,9.0,17.0,14.0,21.0,7.0,9.0,5.0,27.0,21.0,11.0,6.0
9,2,61.9537033983816,35.90757156048015,72.27102637323503,51.6382467964994,47.83510627774004,129.50924283292994,72.28715763926901,71.66265473419024,112.4558236772164,147.03672072333495,15.747730346268895,13.876703453841923,16.633821026847652,16.54712262973511,4.25407700610272,34.39262825583322,16.69549487683319,17.625253226885132,3.66098875986832,6.136158627333069,23.0,1.0,30.0,12.0,15.0,23.0,30.0,24.0,99.0,131.0,22.0,18.0,30.0,17.0,21.0,18.0,35.0,13.0,6.0,9.0,12.0,43.0,41.0,12.0,18.0,25.0,20.0,13.0,22.0,32.0,11.0,9.0,26.0,22.0,3.0,12.0,9.0,21.0,81.0,3.0,12.0,6.0,8.0,8.0,6.0,16.0,12.0,15.0,19.0,12.0,9.0,11.0,7.0,42.0,7.0,45.0,3.0,23.0,24.0,5.0,20.0,38.0,16.0,16.0,5.0,47.0,33.0,49.0,23.0,27.0,88.0,4.0,12.0,30.0,11.0,20.0,14.0,23.0,29.0,10.0,11.0,27.0,30.0,15.0,22.0,9.0,20.0,4.0,21.0,29.0,14.0,25.0,41.0,26.0,25.0,29.0,10.0,8.0,21.0,30.0,15.0,3.0,40.0,26.0,6.0,62.0,17.0,28.0,30.0,4.0,15.0,4.0,13.0,9.0,10.0,8.0,14.0,15.0,17.0,5.0,25.0,3.0,13.0,23.0,5.0,19.0,1.0,7.0,9.0,12.0,0.0,42.0,28.0,15.0,8.0,16.0,10.0,0.0,20.0,24.0,22.0,10.0,5.0,2.0,8.0,5.0,16.0,23.0,3.0,7.0,5.0,7.0,5.0,5.0,1.0,3.0,1.0,6.0,1.0,6.0,2.0,0.0,5.0,7.0,4.0,2.0,1.0,6.0,2.0,2.0,23.0,20.0,36.0,22.0,19.0,24.0,20.0,32.0,18.0,20.0,31.0,4.0,57.0,43.0,23.0,28.0,39.0,13.0,16.0,12.0,16.0,36.0,20.0,15.0,4.0,31.0,48.0,33.0,10.0,11.0,7.0,21.0,22.0,22.0,19.0,67.0,6.0,6.0,33.0,23.0
