,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min,orb_gry1,orb_gry2,orb_gry3,orb_gry4,orb_gry5,orb_gry6,orb_gry7,orb_gry8,orb_gry9,orb_gry10,orb_gry11,orb_gry12,orb_gry13,orb_gry14,orb_gry15,orb_gry16,orb_gry17,orb_gry18,orb_gry19,orb_gry20,orb_b1,orb_b2,orb_b3,orb_b4,orb_b5,orb_b6,orb_b7,orb_b8,orb_b9,orb_b10,orb_b11,orb_b12,orb_b13,orb_b14,orb_b15,orb_b16,orb_b17,orb_b18,orb_b19,orb_b20,orb_g1,orb_g2,orb_g3,orb_g4,orb_g5,orb_g6,orb_g7,orb_g8,orb_g9,orb_g10,orb_g11,orb_g12,orb_g13,orb_g14,orb_g15,orb_g16,orb_g17,orb_g18,orb_g19,orb_g20,orb_r1,orb_r2,orb_r3,orb_r4,orb_r5,orb_r6,orb_r7,orb_r8,orb_r9,orb_r10,orb_r11,orb_r12,orb_r13,orb_r14,orb_r15,orb_r16,orb_r17,orb_r18,orb_r19,orb_r20,orb_l1,orb_l2,orb_l3,orb_l4,orb_l5,orb_l6,orb_l7,orb_l8,orb_l9,orb_l10,orb_l11,orb_l12,orb_l13,orb_l14,orb_l15,orb_l16,orb_l17,orb_l18,orb_l19,orb_l20,orb_a1,orb_a2,orb_a3,orb_a4,orb_a5,orb_a6,orb_a7,orb_a8,orb_a9,orb_a10,orb_a11,orb_a12,orb_a13,orb_a14,orb_a15,orb_a16,orb_a17,orb_a18,orb_a19,orb_a20,orb_bl1,orb_bl2,orb_bl3,orb_bl4,orb_bl5,orb_bl6,orb_bl7,orb_bl8,orb_bl9,orb_bl10,orb_bl11,orb_bl12,orb_bl13,orb_bl14,orb_bl15,orb_bl16,orb_bl17,orb_bl18,orb_bl19,orb_bl20,orb_h1,orb_h2,orb_h3,orb_h4,orb_h5,orb_h6,orb_h7,orb_h8,orb_h9,orb_h10,orb_h11,orb_h12,orb_h13,orb_h14,orb_h15,orb_h16,orb_h17,orb_h18,orb_h19,orb_h20,orb_s1,orb_s2,orb_s3,orb_s4,orb_s5,orb_s6,orb_s7,orb_s8,orb_s9,orb_s10,orb_s11,orb_s12,orb_s13,orb_s14,orb_s15,orb_s16,orb_s17,orb_s18,orb_s19,orb_s20,orb_v1,orb_v2,orb_v3,orb_v4,orb_v5,orb_v6,orb_v7,orb_v8,orb_v9,orb_v10,orb_v11,orb_v12,orb_v13,orb_v14,orb_v15,orb_v16,orb_v17,orb_v18,orb_v19,orb_v20
0,3,77.6605814887467,30.85738093676917,94.18080136383756,63.05965150016665,44.86416811920465,172.80312327539573,94.2780786064378,92.61481971226088,104.9966559752586,159.58138492893949,15.181095870935522,12.78331040177181,15.813886723832368,16.881656373551955,3.3635276840859034,21.39982533404021,16.138678395274567,16.47037909722226,3.637626630623512,5.094945315801764,29.0,1.0,40.0,18.0,19.0,51.0,40.0,35.0,95.0,141.0,4.0,6.0,3.0,2.0,4.0,8.0,4.0,5.0,32.0,6.0,5.0,8.0,20.0,13.0,7.0,6.0,3.0,8.0,7.0,1.0,4.0,28.0,46.0,2.0,9.0,45.0,3.0,30.0,3.0,9.0,4.0,18.0,45.0,5.0,30.0,24.0,2.0,4.0,9.0,11.0,50.0,5.0,8.0,61.0,0.0,44.0,56.0,15.0,3.0,4.0,4.0,28.0,38.0,2.0,12.0,8.0,3.0,6.0,3.0,1.0,83.0,26.0,1.0,7.0,26.0,41.0,38.0,3.0,33.0,17.0,9.0,9.0,3.0,37.0,3.0,2.0,6.0,4.0,3.0,12.0,28.0,4.0,73.0,3.0,25.0,7.0,2.0,0.0,11.0,38.0,44.0,6.0,10.0,8.0,11.0,3.0,26.0,0.0,41.0,16.0,15.0,30.0,1.0,11.0,20.0,44.0,39.0,14.0,2.0,6.0,5.0,15.0,7.0,7.0,7.0,0.0,45.0,7.0,12.0,2.0,102.0,5.0,12.0,7.0,58.0,10.0,18.0,5.0,10.0,17.0,1.0,0.0,7.0,1.0,17.0,10.0,7.0,5.0,2.0,6.0,4.0,6.0,0.0,0.0,9.0,7.0,1.0,3.0,1.0,5.0,0.0,16.0,0.0,0.0,1.0,5.0,18.0,0.0,9.0,0.0,12.0,39.0,30.0,19.0,16.0,106.0,22.0,18.0,18.0,5.0,17.0,6.0,13.0,12.0,11.0,33.0,30.0,15.0,11.0,49.0,5.0,8.0,16.0,2.0,8.0,14.0,5.0,8.0,44.0,36.0,29.0,33.0,51.0,64.0,3.0,8.0,17.0,4.0,2.0,3.0
1,4,62.72040698361002,42.18416930822301,70.27540384483905,55.71762248976015,45.961526747922505,106.44861427923252,70.27559030648078,70.9002803140014,116.24046714856642,143.0579398474744,16.21414586881953,16.09974500705639,16.325432566957303,16.705533762465397,3.943508651472525,30.56193298363141,16.32581660617029,18.028251301338976,2.3921602173931547,3.711031905463629,18.0,1.0,25.0,10.0,28.0,10.0,25.0,18.0,101.0,123.0,22.0,3.0,17.0,14.0,7.0,26.0,22.0,12.0,13.0,17.0,12.0,16.0,7.0,23.0,13.0,13.0,17.0,18.0,19.0,11.0,8.0,6.0,9.0,27.0,27.0,4.0,31.0,13.0,47.0,22.0,21.0,32.0,6.0,22.0,7.0,14.0,21.0,21.0,26.0,6.0,16.0,1.0,21.0,21.0,14.0,36.0,11.0,16.0,17.0,20.0,24.0,18.0,2.0,20.0,12.0,28.0,5.0,36.0,11.0,7.0,10.0,17.0,14.0,24.0,42.0,16.0,32.0,30.0,2.0,13.0,17.0,30.0,14.0,4.0,14.0,11.0,8.0,19.0,25.0,2.0,4.0,34.0,8.0,19.0,21.0,40.0,14.0,10.0,30.0,2.0,30.0,36.0,23.0,27.0,8.0,7.0,7.0,11.0,12.0,5.0,10.0,3.0,6.0,0.0,8.0,2.0,10.0,0.0,2.0,21.0,34.0,1.0,14.0,9.0,25.0,0.0,9.0,0.0,16.0,0.0,3.0,17.0,11.0,13.0,8.0,6.0,0.0,0.0,38.0,7.0,0.0,0.0,27.0,0.0,0.0,12.0,36.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,7.0,11.0,3.0,6.0,2.0,7.0,4.0,10.0,5.0,2.0,6.0,29.0,33.0,42.0,12.0,32.0,7.0,28.0,10.0,6.0,43.0,46.0,18.0,3.0,43.0,14.0,28.0,23.0,32.0,23.0,28.0,21.0,6.0,16.0,12.0,20.0,29.0,34.0,8.0,17.0,12.0,30.0,6.0,10.0,10.0,16.0,29.0,10.0,22.0,8.0,20.0
2,3,80.32638380436374,40.97981036755015,93.47147581393078,69.53475374627813,43.86805657246058,145.12482305852492,93.4716161468248,93.43055962317568,109.20508737248012,154.81200883487088,14.128200215813902,14.384574108335288,14.238618781707563,15.420903948314225,2.900993272522331,27.57516721683378,14.23920696953542,14.95703559102872,2.9771192236622657,4.7819713496722045,31.0,2.0,44.0,17.0,24.0,26.0,44.0,38.0,98.0,131.0,9.0,16.0,12.0,27.0,9.0,4.0,10.0,10.0,23.0,19.0,13.0,14.0,9.0,18.0,6.0,15.0,8.0,14.0,17.0,20.0,11.0,20.0,6.0,12.0,14.0,7.0,38.0,9.0,33.0,16.0,21.0,25.0,16.0,21.0,14.0,4.0,16.0,15.0,19.0,11.0,23.0,16.0,26.0,40.0,12.0,10.0,6.0,20.0,16.0,10.0,27.0,7.0,13.0,9.0,6.0,10.0,12.0,10.0,9.0,17.0,10.0,15.0,7.0,6.0,31.0,5.0,33.0,28.0,20.0,11.0,18.0,12.0,24.0,4.0,14.0,7.0,19.0,18.0,11.0,3.0,5.0,19.0,17.0,9.0,16.0,18.0,15.0,11.0,29.0,14.0,18.0,11.0,33.0,18.0,3.0,6.0,5.0,10.0,33.0,15.0,7.0,7.0,8.0,3.0,5.0,7.0,7.0,5.0,5.0,19.0,12.0,2.0,5.0,10.0,9.0,1.0,7.0,9.0,7.0,0.0,4.0,15.0,15.0,20.0,4.0,6.0,10.0,8.0,34.0,14.0,1.0,2.0,7.0,4.0,8.0,15.0,14.0,9.0,0.0,4.0,8.0,3.0,0.0,3.0,2.0,2.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,40.0,40.0,19.0,13.0,18.0,13.0,15.0,26.0,24.0,22.0,26.0,27.0,5.0,35.0,15.0,35.0,22.0,32.0,32.0,41.0,19.0,6.0,5.0,8.0,10.0,19.0,14.0,17.0,16.0,6.0,10.0,6.0,38.0,13.0,8.0,38.0,9.0,27.0,4.0,26.0
3,2,83.14940527375566,39.53704326833203,96.81320201464516,72.9717137836553,42.66793071586133,152.73269098270032,96.83358881369874,96.7873940468624,108.69657478275268,157.17363228986963,15.099077737579892,14.47838796024966,15.039726474674032,16.858385180412306,2.6337005803370004,26.31824166630552,15.108604042984071,15.837623394560506,2.7068624481018486,4.716824759089579,21.0,1.0,25.0,18.0,14.0,26.0,25.0,19.0,98.0,128.0,18.0,12.0,17.0,12.0,21.0,12.0,24.0,9.0,28.0,18.0,19.0,8.0,30.0,16.0,15.0,10.0,10.0,12.0,12.0,18.0,6.0,22.0,12.0,25.0,24.0,36.0,21.0,19.0,22.0,21.0,11.0,20.0,24.0,13.0,15.0,7.0,13.0,20.0,24.0,22.0,32.0,7.0,15.0,32.0,8.0,52.0,30.0,9.0,23.0,3.0,11.0,52.0,34.0,17.0,16.0,10.0,22.0,6.0,10.0,10.0,24.0,21.0,17.0,34.0,39.0,22.0,47.0,4.0,40.0,9.0,13.0,18.0,12.0,35.0,8.0,10.0,8.0,20.0,13.0,21.0,14.0,16.0,22.0,17.0,44.0,5.0,14.0,12.0,13.0,31.0,56.0,20.0,9.0,9.0,22.0,12.0,24.0,5.0,43.0,16.0,26.0,15.0,23.0,15.0,9.0,22.0,16.0,19.0,18.0,8.0,7.0,8.0,11.0,10.0,7.0,4.0,23.0,15.0,13.0,4.0,11.0,12.0,40.0,14.0,16.0,10.0,25.0,18.0,31.0,23.0,0.0,2.0,3.0,1.0,18.0,24.0,9.0,20.0,4.0,17.0,11.0,7.0,3.0,1.0,9.0,9.0,4.0,11.0,0.0,4.0,1.0,9.0,0.0,1.0,1.0,9.0,13.0,0.0,11.0,0.0,27.0,46.0,21.0,16.0,30.0,65.0,26.0,15.0,7.0,15.0,25.0,13.0,31.0,12.0,17.0,20.0,30.0,21.0,28.0,35.0,17.0,20.0,26.0,9.0,30.0,10.0,16.0,15.0,31.0,34.0,37.0,32.0,32.0,26.0,10.0,8.0,13.0,7.0,16.0,6.0
4,3,94.27622622468,42.45425617366589,112.13499541742614,78.99664287847426,44.47362702997725,159.36702297465683,112.16434963493876,110.79447928573636,103.67317495134232,161.99883633517666,12.503790046432682,12.837476716861046,12.128386182781854,15.046081367152397,2.813879428790486,23.248912808937348,12.264138396617993,12.633372754878112,2.740738494708629,4.791483347630437,41.0,1.0,54.0,28.0,21.0,23.0,54.0,50.0,96.0,138.0,11.0,2.0,7.0,8.0,10.0,17.0,6.0,13.0,2.0,5.0,5.0,8.0,1.0,5.0,7.0,11.0,7.0,17.0,11.0,15.0,16.0,9.0,44.0,8.0,7.0,28.0,19.0,49.0,18.0,6.0,22.0,4.0,9.0,3.0,26.0,25.0,11.0,6.0,9.0,13.0,18.0,10.0,7.0,116.0,7.0,15.0,36.0,4.0,4.0,6.0,8.0,25.0,14.0,3.0,5.0,7.0,0.0,10.0,7.0,10.0,66.0,5.0,4.0,10.0,9.0,55.0,49.0,7.0,14.0,14.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,15.0,15.0,9.0,7.0,7.0,74.0,5.0,54.0,9.0,5.0,5.0,11.0,12.0,15.0,8.0,8.0,6.0,2.0,8.0,20.0,14.0,44.0,9.0,25.0,22.0,5.0,11.0,25.0,51.0,43.0,2.0,6.0,7.0,1.0,1.0,1.0,0.0,2.0,0.0,10.0,2.0,4.0,0.0,18.0,11.0,48.0,19.0,13.0,12.0,6.0,3.0,32.0,30.0,1.0,0.0,16.0,0.0,3.0,5.0,19.0,14.0,0.0,5.0,2.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,0.0,11.0,0.0,27.0,0.0,0.0,0.0,3.0,13.0,0.0,1.0,0.0,25.0,30.0,30.0,10.0,36.0,95.0,18.0,23.0,20.0,20.0,15.0,29.0,14.0,14.0,19.0,9.0,34.0,7.0,15.0,19.0,6.0,13.0,6.0,2.0,34.0,4.0,6.0,8.0,14.0,17.0,14.0,16.0,45.0,82.0,3.0,12.0,14.0,8.0,3.0,13.0
5,1,64.05332795482049,31.027612787904744,74.84648276290068,55.48920470413008,44.2736642526342,152.1265275170622,74.93045582896329,74.00409594439445,112.18609240698792,151.01318769975487,24.82833840875504,22.34419170007424,26.52792362112108,24.561125721581792,7.899462078257466,41.48943534230672,26.69753080652389,27.831533912649675,5.239541316277367,8.395257508128282,5.0,1.0,6.0,4.0,1.0,1.0,6.0,3.0,100.0,99.0,54.0,21.0,16.0,63.0,9.0,14.0,24.0,22.0,23.0,33.0,17.0,28.0,17.0,14.0,27.0,12.0,37.0,25.0,36.0,8.0,8.0,25.0,0.0,29.0,96.0,15.0,24.0,1.0,30.0,1.0,8.0,78.0,9.0,51.0,1.0,4.0,8.0,37.0,48.0,27.0,2.0,15.0,23.0,6.0,26.0,2.0,10.0,42.0,51.0,32.0,63.0,12.0,22.0,71.0,33.0,19.0,9.0,29.0,13.0,20.0,6.0,11.0,58.0,43.0,0.0,18.0,4.0,30.0,16.0,13.0,29.0,39.0,82.0,21.0,8.0,10.0,5.0,63.0,37.0,7.0,18.0,94.0,2.0,38.0,3.0,38.0,14.0,14.0,22.0,22.0,3.0,36.0,73.0,25.0,27.0,11.0,21.0,19.0,3.0,17.0,8.0,27.0,17.0,25.0,16.0,9.0,17.0,70.0,17.0,22.0,14.0,11.0,6.0,11.0,5.0,56.0,37.0,30.0,23.0,12.0,28.0,13.0,12.0,22.0,36.0,5.0,50.0,44.0,12.0,13.0,13.0,21.0,8.0,31.0,43.0,28.0,11.0,11.0,5.0,45.0,0.0,1.0,10.0,4.0,6.0,6.0,10.0,5.0,18.0,0.0,64.0,0.0,28.0,90.0,64.0,10.0,0.0,63.0,6.0,98.0,7.0,29.0,30.0,61.0,13.0,11.0,23.0,33.0,1.0,8.0,22.0,11.0,36.0,22.0,45.0,40.0,17.0,31.0,18.0,42.0,52.0,5.0,37.0,33.0,6.0,50.0,78.0,18.0,1.0,14.0,3.0,32.0,3.0,2.0,9.0,85.0,18.0,17.0,11.0,26.0
6,2,61.175856391000586,40.44877812317257,70.43273521898372,50.9045274075898,50.55169123757348,112.39461697085346,70.46852205226062,69.89081591825429,113.86329291188328,143.53238589147765,19.04534142579524,16.801865489968186,19.856334938875246,19.376098077158087,5.310012894954636,30.18482835071607,19.99986423573457,21.683600166673784,3.387646410688705,5.1345929307508005,10.0,3.0,13.0,4.0,17.0,21.0,13.0,8.0,101.0,120.0,19.0,22.0,28.0,20.0,11.0,17.0,21.0,19.0,15.0,14.0,20.0,10.0,8.0,15.0,12.0,9.0,10.0,19.0,26.0,14.0,16.0,18.0,16.0,28.0,29.0,11.0,7.0,32.0,63.0,16.0,14.0,20.0,12.0,12.0,11.0,20.0,6.0,8.0,12.0,25.0,21.0,7.0,18.0,29.0,12.0,17.0,36.0,30.0,22.0,26.0,14.0,16.0,43.0,21.0,6.0,11.0,8.0,12.0,17.0,10.0,22.0,15.0,16.0,16.0,13.0,49.0,29.0,24.0,29.0,10.0,19.0,18.0,15.0,9.0,22.0,18.0,12.0,22.0,17.0,12.0,18.0,20.0,37.0,25.0,28.0,14.0,42.0,13.0,22.0,41.0,12.0,13.0,16.0,28.0,8.0,14.0,27.0,9.0,9.0,7.0,11.0,3.0,17.0,1.0,1.0,0.0,12.0,25.0,9.0,19.0,12.0,1.0,15.0,48.0,14.0,4.0,4.0,2.0,9.0,17.0,7.0,18.0,15.0,15.0,10.0,5.0,16.0,2.0,37.0,10.0,11.0,4.0,23.0,0.0,9.0,10.0,28.0,10.0,1.0,23.0,6.0,7.0,0.0,4.0,3.0,12.0,0.0,5.0,5.0,5.0,6.0,5.0,1.0,7.0,1.0,1.0,5.0,6.0,7.0,4.0,20.0,30.0,33.0,27.0,22.0,23.0,38.0,19.0,38.0,16.0,30.0,26.0,29.0,23.0,20.0,21.0,24.0,16.0,20.0,25.0,15.0,4.0,11.0,12.0,15.0,10.0,20.0,11.0,13.0,27.0,20.0,46.0,16.0,33.0,25.0,31.0,11.0,27.0,7.0,23.0
7,3,89.7525130028484,35.90927600613465,107.48147878900028,75.50315571034875,43.61222763410943,171.7392226708875,107.48147878900028,106.0393753345714,103.88595824549114,163.1462465221098,15.507271800333218,11.574811474443788,16.178841357471626,16.68079809703779,2.245967054131393,20.748332508421345,16.178841357471626,16.68599111481139,1.9685090531693623,4.150471801513851,31.0,1.0,43.0,18.0,33.0,53.0,43.0,38.0,97.0,147.0,13.0,11.0,18.0,10.0,16.0,8.0,32.0,11.0,2.0,9.0,12.0,14.0,6.0,14.0,5.0,10.0,7.0,11.0,12.0,5.0,6.0,8.0,2.0,17.0,12.0,12.0,11.0,0.0,17.0,7.0,12.0,6.0,7.0,9.0,11.0,2.0,14.0,11.0,13.0,5.0,21.0,3.0,18.0,32.0,7.0,28.0,1.0,19.0,5.0,19.0,13.0,9.0,13.0,8.0,9.0,9.0,3.0,12.0,9.0,11.0,4.0,12.0,14.0,7.0,33.0,1.0,21.0,24.0,14.0,1.0,26.0,16.0,20.0,6.0,5.0,10.0,9.0,20.0,14.0,0.0,2.0,14.0,6.0,10.0,23.0,16.0,8.0,12.0,22.0,15.0,40.0,7.0,15.0,23.0,4.0,3.0,4.0,7.0,21.0,6.0,5.0,7.0,9.0,0.0,2.0,9.0,12.0,5.0,0.0,6.0,0.0,2.0,1.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,0.0,21.0,4.0,17.0,12.0,2.0,20.0,0.0,26.0,8.0,0.0,0.0,5.0,0.0,3.0,6.0,13.0,11.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,13.0,41.0,17.0,36.0,16.0,27.0,7.0,31.0,25.0,24.0,28.0,19.0,12.0,29.0,15.0,30.0,30.0,21.0,7.0,27.0,13.0,7.0,10.0,7.0,19.0,17.0,8.0,11.0,19.0,1.0,33.0,5.0,20.0,5.0,12.0,20.0,2.0,25.0,2.0,13.0
8,1,77.34891308442904,40.39396999314258,89.95018648984666,66.71536751685943,44.48054100892891,140.40401612477865,89.98959424330332,89.83764457672456,109.8872245036356,153.25764231624157,16.537132996403606,13.426587642709707,17.868784543086285,17.685650686320283,3.201947775375752,30.46837356565276,18.000033201786557,18.33625089493489,4.000027398039306,7.039681947718446,13.0,1.0,19.0,7.0,15.0,17.0,19.0,11.0,96.0,132.0,18.0,69.0,13.0,15.0,19.0,25.0,9.0,41.0,25.0,13.0,53.0,7.0,31.0,14.0,29.0,10.0,10.0,15.0,23.0,38.0,7.0,12.0,21.0,13.0,20.0,40.0,12.0,37.0,15.0,22.0,17.0,16.0,20.0,18.0,37.0,29.0,22.0,12.0,37.0,43.0,24.0,28.0,16.0,33.0,7.0,73.0,18.0,11.0,13.0,2.0,14.0,25.0,89.0,16.0,18.0,10.0,36.0,15.0,6.0,40.0,28.0,13.0,14.0,39.0,56.0,37.0,38.0,8.0,74.0,12.0,12.0,9.0,10.0,38.0,17.0,13.0,21.0,17.0,11.0,28.0,8.0,11.0,12.0,15.0,14.0,10.0,19.0,22.0,18.0,84.0,79.0,19.0,10.0,8.0,30.0,11.0,20.0,33.0,43.0,32.0,14.0,16.0,20.0,19.0,10.0,19.0,31.0,50.0,6.0,14.0,9.0,19.0,7.0,14.0,5.0,25.0,19.0,10.0,10.0,1.0,42.0,8.0,25.0,19.0,18.0,11.0,14.0,22.0,19.0,18.0,9.0,2.0,8.0,4.0,42.0,13.0,9.0,17.0,0.0,59.0,7.0,2.0,4.0,7.0,2.0,28.0,12.0,5.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,12.0,0.0,32.0,30.0,20.0,28.0,27.0,22.0,17.0,18.0,21.0,7.0,7.0,39.0,60.0,15.0,16.0,20.0,51.0,19.0,25.0,26.0,12.0,28.0,38.0,5.0,5.0,10.0,10.0,51.0,28.0,22.0,64.0,79.0,36.0,20.0,3.0,20.0,21.0,12.0,10.0,20.0
9,3,62.72258176812191,31.81231256181998,74.58546291754355,51.25933984208111,47.08268588698831,149.9739149010238,74.58552621168727,73.1146336060256,110.48813234805448,150.06249505514504,21.219510183860876,15.09142471190328,23.038764807218037,21.02182365148117,3.428703515817892,28.7589737603292,23.038702071431,24.536547966854247,3.571404569927917,6.341699857037962,9.0,1.0,14.0,3.0,24.0,49.0,14.0,8.0,97.0,130.0,15.0,19.0,13.0,17.0,4.0,13.0,20.0,13.0,27.0,21.0,13.0,26.0,25.0,40.0,17.0,8.0,11.0,14.0,13.0,8.0,4.0,31.0,16.0,12.0,26.0,17.0,22.0,8.0,17.0,7.0,12.0,31.0,36.0,10.0,5.0,3.0,1.0,11.0,20.0,7.0,12.0,12.0,12.0,27.0,12.0,15.0,17.0,19.0,26.0,7.0,36.0,39.0,31.0,18.0,20.0,23.0,19.0,23.0,13.0,8.0,19.0,41.0,18.0,14.0,24.0,5.0,20.0,4.0,25.0,12.0,10.0,21.0,34.0,19.0,4.0,10.0,8.0,17.0,16.0,13.0,11.0,31.0,12.0,17.0,22.0,36.0,16.0,7.0,17.0,29.0,18.0,30.0,35.0,11.0,26.0,29.0,26.0,13.0,10.0,9.0,8.0,4.0,23.0,8.0,0.0,1.0,9.0,15.0,1.0,13.0,15.0,7.0,1.0,18.0,5.0,3.0,13.0,0.0,14.0,0.0,2.0,25.0,10.0,7.0,5.0,15.0,6.0,9.0,31.0,2.0,0.0,0.0,20.0,0.0,10.0,15.0,17.0,7.0,0.0,32.0,3.0,2.0,0.0,5.0,1.0,9.0,4.0,4.0,0.0,1.0,6.0,3.0,2.0,0.0,0.0,8.0,3.0,0.0,4.0,0.0,30.0,42.0,5.0,24.0,18.0,26.0,64.0,22.0,11.0,24.0,15.0,13.0,31.0,19.0,15.0,40.0,15.0,42.0,27.0,17.0,23.0,6.0,24.0,12.0,19.0,29.0,22.0,11.0,11.0,21.0,25.0,35.0,12.0,27.0,9.0,44.0,15.0,9.0,11.0,24.0
